Name,Type,Category,Power,Accuracy,PP,Effect,Prob of effect
Flame Burst,Fire,special,70,100,—,"<td class=""cell-long-text"">May also injure nearby Pokémon.</td>",-
Flame Charge,Fire,physical,50,100,100,"<td class=""cell-long-text"">Raises user's Speed.</td>",100
Flame Wheel,Fire,physical,60,100,10,"<td class=""cell-long-text"">May burn opponent.</td>",10
Flamethrower,Fire,special,90,100,10,"<td class=""cell-long-text"">May burn opponent.</td>",10
Flare Blitz,Fire,physical,120,100,10,"<td class=""cell-long-text"">User receives recoil damage. May burn opponent.</td>",10
Flash,Normal,status,-,100,—,"<td class=""cell-long-text"">Lowers opponent's Accuracy.</td>",-
Flash Cannon,Steel,special,80,100,10,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",10
Flatter,Dark,status,-,100,—,"<td class=""cell-long-text"">Confuses opponent, but raises its Special Attack.</td>",-
Fleur Cannon,Fairy,special,130,90,100,"<td class=""cell-long-text"">Sharply lowers user's Special Attack.</td>",100
Fling,Dark,physical,-,100,—,"<td class=""cell-long-text"">Power depends on held item.</td>",-
Flip Turn,Water,physical,60,100,—,"<td class=""cell-long-text"">After making its attack, the user rushes back to switch places with a party Pokémon in waiting.</td>",-
Floaty Fall,Flying,physical,90,95,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Floral Healing,Fairy,status,-,-,—,"<td class=""cell-long-text"">The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.</td>",-
Flower Shield,Fairy,status,-,-,100,"<td class=""cell-long-text"">Sharply raises Defense of all Grass-type Pokémon on the field.</td>",100
Flower Trick,Grass,physical,70,∞,—,"<td class=""cell-long-text"">Never misses; always results in a critical hit.</td>",-
Fly,Flying,physical,90,95,—,"<td class=""cell-long-text"">Flies up on first turn, attacks on second turn.</td>",-
Flying Press,Fighting,physical,100,95,—,"<td class=""cell-long-text"">Deals Fighting and Flying type damage.</td>",-
Focus Blast,Fighting,special,120,70,10,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",10
Focus Energy,Normal,status,-,-,—,"<td class=""cell-long-text"">Increases critical hit ratio.</td>",-
Focus Punch,Fighting,physical,150,100,—,"<td class=""cell-long-text"">If the user is hit before attacking, it flinches instead.</td>",-
Follow Me,Normal,status,-,-,—,"<td class=""cell-long-text"">In Double Battle, the user takes all the attacks.</td>",-
Force Palm,Fighting,physical,60,100,30,"<td class=""cell-long-text"">May paralyze opponent.</td>",30
Foresight,Normal,status,-,-,—,"<td class=""cell-long-text"">Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.</td>",-
Forest's Curse,Grass,status,-,100,—,"<td class=""cell-long-text"">Adds Grass type to opponent.</td>",-
Foul Play,Dark,physical,95,100,—,"<td class=""cell-long-text"">Uses the opponent's Attack stat.</td>",-
Freeze Shock,Ice,physical,140,90,30,"<td class=""cell-long-text"">Charges on first turn, attacks on second. May paralyze opponent.</td>",30
Freeze-Dry,Ice,special,70,100,10,"<td class=""cell-long-text"">May freeze opponent. Super-effective against Water types.</td>",10
Freezing Glare,Psychic,special,90,100,10,"<td class=""cell-long-text"">May freeze opponent.</td>",10
Freezy Frost,Ice,special,90,100,—,"<td class=""cell-long-text"">Resets all stat changes.</td>",-
Frenzy Plant,Grass,special,150,90,—,"<td class=""cell-long-text"">User must recharge next turn.</td>",-
Frost Breath,Ice,special,60,90,100,"<td class=""cell-long-text"">Always results in a critical hit.</td>",100
Frustration,Normal,physical,-,100,—,"<td class=""cell-long-text"">Power decreases with higher Friendship.</td>",-
Fury Attack,Normal,physical,15,85,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Fury Cutter,Bug,physical,40,95,—,"<td class=""cell-long-text"">Power increases each turn.</td>",-
Fury Swipes,Normal,physical,18,80,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Fusion Bolt,Electric,physical,100,100,—,"<td class=""cell-long-text"">Power increases if Fusion Flare is used in the same turn.</td>",-
Fusion Flare,Fire,special,100,100,—,"<td class=""cell-long-text"">Power increases if Fusion Bolt is used in the same turn.</td>",-
Future Sight,Psychic,special,120,100,—,"<td class=""cell-long-text"">Damage occurs 2 turns later.</td>",-
G-Max Befuddle,Bug,,-,∞,100,"<td class=""cell-long-text"">Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.</td>",100
G-Max Cannonade,Water,,-,∞,—,"<td class=""cell-long-text"">Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.</td>",-
G-Max Centiferno,Fire,,-,∞,100,"<td class=""cell-long-text"">Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.</td>",100
G-Max Chi Strike,Fighting,,-,∞,—,"<td class=""cell-long-text"">Machamp-exclusive G-Max Move. Increases critical hit ratio.</td>",-
G-Max Cuddle,Normal,,-,∞,100,"<td class=""cell-long-text"">Eevee-exclusive G-Max Move. Infatuates opponents.</td>",100
G-Max Depletion,Dragon,,-,∞,—,"<td class=""cell-long-text"">Duraludon-exclusive G-Max Move. Reduces opponent's PP.</td>",-
G-Max Drum Solo,Grass,,160,∞,—,"<td class=""cell-long-text"">Rillaboom-exclusive G-Max Move. Ignores target's ability.</td>",-
G-Max Finale,Fairy,,-,∞,—,"<td class=""cell-long-text"">Alcremie-exclusive G-Max Move. Heals the user's team.</td>",-
G-Max Fireball,Fire,,160,∞,—,"<td class=""cell-long-text"">Cinderace-exclusive G-Max Move. Ignores target's ability.</td>",-
G-Max Foam Burst,Water,,-,∞,100,"<td class=""cell-long-text"">Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.</td>",100
G-Max Gold Rush,Normal,,-,∞,100,"<td class=""cell-long-text"">Meowth-exclusive G-Max Move. Confuses opponents and earns more money.</td>",100
G-Max Gravitas,Psychic,,-,∞,—,"<td class=""cell-long-text"">Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.</td>",-
G-Max Hydrosnipe,Water,,160,∞,—,"<td class=""cell-long-text"">Inteleon-exclusive G-Max Move. Ignores target's ability.</td>",-
G-Max Malodor,Poison,,-,∞,100,"<td class=""cell-long-text"">Garbodor-exclusive G-Max Move. Poisons opponents.</td>",100
G-Max Meltdown,Steel,,-,∞,—,"<td class=""cell-long-text"">Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.</td>",-
G-Max One Blow,Dark,,-,∞,—,"<td class=""cell-long-text"">Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.</td>",-
G-Max Rapid Flow,Water,,-,∞,—,"<td class=""cell-long-text"">Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.</td>",-
G-Max Replenish,Normal,,-,∞,—,"<td class=""cell-long-text"">Snorlax-exclusive G-Max Move. Recycles Berries.</td>",-
G-Max Resonance,Ice,,-,∞,—,"<td class=""cell-long-text"">Lapras-exclusive G-Max Move. Reduces damage for 5 turns.</td>",-
G-Max Sandblast,Ground,,-,∞,100,"<td class=""cell-long-text"">Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.</td>",100
G-Max Smite,Fairy,,-,∞,100,"<td class=""cell-long-text"">Hatterene-exclusive G-Max Move. Confuses opponents.</td>",100
G-Max Snooze,Dark,,-,∞,—,"<td class=""cell-long-text"">Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.</td>",-
G-Max Steelsurge,Steel,,-,∞,—,"<td class=""cell-long-text"">Copperajah-exclusive G-Max Move. Sets up Spikes on the field.</td>",-
G-Max Stonesurge,Water,,-,∞,—,"<td class=""cell-long-text"">Drednaw-exclusive G-Max Move. Sets up Stealth Rock.</td>",-
G-Max Stun Shock,Electric,,-,∞,100,"<td class=""cell-long-text"">Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.</td>",100
G-Max Sweetness,Grass,,-,∞,—,"<td class=""cell-long-text"">Appletun-exclusive G-Max Move. Heals status conditions of user's team.</td>",-
G-Max Tartness,Grass,,-,∞,100,"<td class=""cell-long-text"">Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.</td>",100
G-Max Terror,Ghost,,-,∞,—,"<td class=""cell-long-text"">Gengar-exclusive G-Max Move. Prevents opponent from switching out.</td>",-
G-Max Vine Lash,Grass,,-,∞,—,"<td class=""cell-long-text"">Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.</td>",-
G-Max Volcalith,Rock,,-,∞,100,"<td class=""cell-long-text"">Coalossal-exclusive G-Max Move. Deals damage for 4 turns.</td>",100
G-Max Volt Crash,Electric,,-,∞,100,"<td class=""cell-long-text"">Pikachu-exclusive G-Max Move. Paralyzes opponents.</td>",100
G-Max Wildfire,Fire,,-,∞,100,"<td class=""cell-long-text"">Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.</td>",100
G-Max Wind Rage,Flying,,-,∞,—,"<td class=""cell-long-text"">Corviknight-exclusive G-Max Move. Removes battlefield hazards.</td>",-
Gastro Acid,Poison,status,-,100,—,"<td class=""cell-long-text"">Cancels out the effect of the opponent's Ability.</td>",-
Gear Grind,Steel,physical,50,85,—,"<td class=""cell-long-text"">Hits twice in one turn.</td>",-
Gear Up,Steel,status,-,-,—,"<td class=""cell-long-text"">The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.</td>",-
Genesis Supernova,Psychic,special,185,-,—,"<td class=""cell-long-text"">Mew-exclusive Z-Move.</td>",-
Geomancy,Fairy,status,-,-,—,"<td class=""cell-long-text"">Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.</td>",-
Giga Drain,Grass,special,75,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Giga Impact,Normal,physical,150,90,—,"<td class=""cell-long-text"">User must recharge next turn.</td>",-
Gigaton Hammer,Steel,physical,160,100,—,"<td class=""cell-long-text"">Cannot be used twice in a row.</td>",-
Gigavolt Havoc,Electric,,-,-,—,"<td class=""cell-long-text"">Electric type Z-Move.</td>",-
Glacial Lance,Ice,physical,120,100,—,"<td class=""cell-long-text"">The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.</td>",-
Glaciate,Ice,special,65,95,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Glaive Rush,Dragon,physical,120,100,—,"<td class=""cell-long-text"">Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.</td>",-
Glare,Normal,status,-,100,—,"<td class=""cell-long-text"">Paralyzes opponent.</td>",-
Glitzy Glow,Psychic,special,90,100,—,"<td class=""cell-long-text"">Reduces damage from Special attacks.</td>",-
Grass Knot,Grass,special,-,100,—,"<td class=""cell-long-text"">The heavier the opponent, the stronger the attack.</td>",-
Grass Pledge,Grass,special,80,100,—,"<td class=""cell-long-text"">Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.</td>",-
Grass Whistle,Grass,status,-,55,—,"<td class=""cell-long-text"">Puts opponent to sleep.</td>",-
Grassy Glide,Grass,physical,55,100,—,"<td class=""cell-long-text"">High priority during Grassy Terrain.</td>",-
Grassy Terrain,Grass,status,-,-,—,"<td class=""cell-long-text"">Restores a little HP of all Pokémon for 5 turns. </td>",-
Grav Apple,Grass,physical,80,100,100,"<td class=""cell-long-text"">Lowers the opponent's Defense stat.</td>",100
Gravity,Psychic,status,-,-,—,"<td class=""cell-long-text"">Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.</td>",-
Growl,Normal,status,-,100,—,"<td class=""cell-long-text"">Lowers opponent's Attack.</td>",-
Growth,Normal,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack and Special Attack.</td>",-
Grudge,Ghost,status,-,-,—,"<td class=""cell-long-text"">If the users faints after using this move, the PP for the opponent's last move is depleted.</td>",-
Guard Split,Psychic,status,-,-,—,"<td class=""cell-long-text"">Averages Defense and Special Defense with the target.</td>",-
Guard Swap,Psychic,status,-,-,—,"<td class=""cell-long-text"">User and opponent swap Defense and Special Defense.</td>",-
Guardian of Alola,Fairy,special,-,-,—,"<td class=""cell-long-text"">Tapu-exclusive Z-move. Cuts opponent's HP by 75%.</td>",-
Guillotine,Normal,physical,-,30,—,"<td class=""cell-long-text"">One-Hit-KO, if it hits.</td>",-
Gunk Shot,Poison,physical,120,80,30,"<td class=""cell-long-text"">May poison opponent.</td>",30
Gust,Flying,special,40,100,—,"<td class=""cell-long-text"">Hits Pokémon using Fly/Bounce/Sky Drop with double power.</td>",-
Gyro Ball,Steel,physical,-,100,—,"<td class=""cell-long-text"">The slower the user, the stronger the attack.</td>",-
Hail,Ice,status,-,-,—,"<td class=""cell-long-text"">Non-Ice types are damaged for 5 turns.</td>",-
Hammer Arm,Fighting,physical,100,90,100,"<td class=""cell-long-text"">Lowers user's Speed.</td>",100
Happy Hour,Normal,status,-,-,—,"<td class=""cell-long-text"">Doubles prize money from trainer battles.</td>",-
Hard Press,Steel,physical,-,100,—,"<td class=""cell-long-text""></td>",-
Harden,Normal,status,-,-,—,"<td class=""cell-long-text"">Raises user's Defense.</td>",-
Haze,Ice,status,-,-,—,"<td class=""cell-long-text"">Resets all stat changes.</td>",-
Head Charge,Normal,physical,120,100,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Head Smash,Rock,physical,150,80,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Headbutt,Normal,physical,70,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Headlong Rush,Ground,physical,120,100,—,"<td class=""cell-long-text"">Lowers user's Defense.</td>",-
Heal Bell,Normal,status,-,-,—,"<td class=""cell-long-text"">Heals the user's party's status conditions.</td>",-
Heal Block,Psychic,status,-,100,—,"<td class=""cell-long-text"">Prevents the opponent from restoring HP for 5 turns.</td>",-
Heal Order,Bug,status,-,-,—,"<td class=""cell-long-text"">User recovers half its max HP.</td>",-
Heal Pulse,Psychic,status,-,-,—,"<td class=""cell-long-text"">Restores half the target's max HP.</td>",-
Healing Wish,Psychic,status,-,-,—,"<td class=""cell-long-text"">The user faints and the next Pokémon released is fully healed.</td>",-
Heart Stamp,Psychic,physical,60,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Heart Swap,Psychic,status,-,-,—,"<td class=""cell-long-text"">Stat changes are swapped with the opponent.</td>",-
Heat Crash,Fire,physical,-,100,—,"<td class=""cell-long-text"">The heavier the user, the stronger the attack.</td>",-
Heat Wave,Fire,special,95,90,10,"<td class=""cell-long-text"">May burn opponent.</td>",10
Heavy Slam,Steel,physical,-,100,—,"<td class=""cell-long-text"">The heavier the user, the stronger the attack.</td>",-
Helping Hand,Normal,status,-,-,—,"<td class=""cell-long-text"">In Double Battles, boosts the power of the partner's move.</td>",-
Hex,Ghost,special,65,100,—,"<td class=""cell-long-text"">Inflicts more damage if the target has a status condition.</td>",-
Hidden Power,Normal,special,60,100,—,"<td class=""cell-long-text"">Type and power depends on user's IVs.</td>",-
High Horsepower,Ground,physical,95,95,—,"<td class=""cell-long-text"">The user fiercely attacks the target using its entire body.</td>",-
High Jump Kick,Fighting,physical,130,90,—,"<td class=""cell-long-text"">If it misses, the user loses half their HP.</td>",-
Hold Back,Normal,physical,40,100,—,"<td class=""cell-long-text"">Always leaves opponent with at least 1 HP.</td>",-
Hold Hands,Normal,status,-,-,—,"<td class=""cell-long-text"">Makes the user and an ally very happy.</td>",-
Hone Claws,Dark,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack and Accuracy.</td>",-
Horn Attack,Normal,physical,65,100,—,"<td class=""cell-long-text""></td>",-
Horn Drill,Normal,physical,-,30,—,"<td class=""cell-long-text"">One-Hit-KO, if it hits.</td>",-
Horn Leech,Grass,physical,75,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Howl,Normal,status,-,-,—,"<td class=""cell-long-text"">Raises Attack of allies.</td>",-
Hurricane,Flying,special,110,70,30,"<td class=""cell-long-text"">May confuse opponent.</td>",30
Hydro Cannon,Water,special,150,90,—,"<td class=""cell-long-text"">User must recharge next turn.</td>",-
Hydro Pump,Water,special,110,80,—,"<td class=""cell-long-text""></td>",-
Hydro Steam,Water,special,80,100,—,"<td class=""cell-long-text"">Power increases in harsh sunlight.</td>",-
Hydro Vortex,Water,,-,-,—,"<td class=""cell-long-text"">Water type Z-Move.</td>",-
Hyper Beam,Normal,special,150,90,—,"<td class=""cell-long-text"">User must recharge next turn.</td>",-
Hyper Drill,Normal,physical,100,100,—,"<td class=""cell-long-text"">Can strike through Protect/Detect.</td>",-
Hyper Fang,Normal,physical,80,90,10,"<td class=""cell-long-text"">May cause flinching.</td>",10
Hyper Voice,Normal,special,90,100,—,"<td class=""cell-long-text""></td>",-
Hyperspace Fury,Dark,physical,100,∞,100,"<td class=""cell-long-text"">Lowers user's Defense. Can strike through Protect/Detect.</td>",100
Hyperspace Hole,Psychic,special,80,∞,—,"<td class=""cell-long-text"">Can strike through Protect/Detect.</td>",-
Hypnosis,Psychic,status,-,60,—,"<td class=""cell-long-text"">Puts opponent to sleep.</td>",-
Ice Ball,Ice,physical,30,90,—,"<td class=""cell-long-text"">Doubles in power each turn for 5 turns.</td>",-
Ice Beam,Ice,special,90,100,10,"<td class=""cell-long-text"">May freeze opponent.</td>",10
Ice Burn,Ice,special,140,90,30,"<td class=""cell-long-text"">Charges on first turn, attacks on second. May burn opponent.</td>",30
Ice Fang,Ice,physical,65,95,10,"<td class=""cell-long-text"">May cause flinching and/or freeze opponent.</td>",10
Ice Hammer,Ice,physical,100,90,100,"<td class=""cell-long-text"">The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.</td>",100
Ice Punch,Ice,physical,75,100,10,"<td class=""cell-long-text"">May freeze opponent.</td>",10
Ice Shard,Ice,physical,40,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Ice Spinner,Ice,physical,80,100,—,"<td class=""cell-long-text"">Removes effects of Terrain.</td>",-
Icicle Crash,Ice,physical,85,90,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Icicle Spear,Ice,physical,25,100,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Icy Wind,Ice,special,55,95,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Imprison,Psychic,status,-,-,—,"<td class=""cell-long-text"">Opponent is unable to use moves that the user also knows.</td>",-
Incinerate,Fire,special,60,100,—,"<td class=""cell-long-text"">Destroys the target's held berry.</td>",-
Infernal Parade,Ghost,special,60,100,—,"<td class=""cell-long-text"">Inflicts double damage if the target has a status condition.</td>",-
Inferno,Fire,special,100,50,100,"<td class=""cell-long-text"">Burns opponent.</td>",100
Inferno Overdrive,Fire,,-,-,—,"<td class=""cell-long-text"">Fire type Z-Move.</td>",-
Infestation,Bug,special,20,100,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
Ingrain,Grass,status,-,-,—,"<td class=""cell-long-text"">User restores HP each turn. User cannot escape/switch.</td>",-
Instruct,Psychic,status,-,-,—,"<td class=""cell-long-text"">Allows an ally to use a move instead.</td>",-
Ion Deluge,Electric,status,-,-,—,"<td class=""cell-long-text"">Changes Normal-type moves to Electric-type.</td>",-
Iron Defense,Steel,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Defense.</td>",-
Iron Head,Steel,physical,80,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Iron Tail,Steel,physical,100,75,30,"<td class=""cell-long-text"">May lower opponent's Defense.</td>",30
Ivy Cudgel,Grass,physical,100,-,-,"<td class=""cell-long-text"">High critical hit ratio. Type changes based on form.</td>",-
Jaw Lock,Dark,physical,80,100,—,"<td class=""cell-long-text"">Prevents user and opponent from switching out.</td>",-
Jet Punch,Water,physical,60,100,—,"<td class=""cell-long-text"">Always goes first.</td>",-
Judgment,Normal,special,100,100,—,"<td class=""cell-long-text"">Type depends on the Arceus Plate being held.</td>",-
Jump Kick,Fighting,physical,100,95,—,"<td class=""cell-long-text"">If it misses, the user loses half their HP.</td>",-
Jungle Healing,Grass,status,-,-,—,"<td class=""cell-long-text"">Restores team's HP and cures status conditions.</td>",-
Karate Chop,Fighting,physical,50,100,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Kinesis,Psychic,status,-,80,—,"<td class=""cell-long-text"">Lowers opponent's Accuracy.</td>",-
King's Shield,Steel,status,-,-,—,"<td class=""cell-long-text"">Protects the user and lowers opponent's Attack on contact.</td>",-
Knock Off,Dark,physical,65,100,—,"<td class=""cell-long-text"">Removes opponent's held item for the rest of the battle.</td>",-
Kowtow Cleave,Dark,physical,85,∞,—,"<td class=""cell-long-text"">Always hits.</td>",-
Land's Wrath,Ground,physical,90,100,—,"<td class=""cell-long-text""></td>",-
Laser Focus,Normal,status,-,-,—,"<td class=""cell-long-text"">User's next attack is guaranteed to result in a critical hit.</td>",-
Lash Out,Dark,physical,75,100,—,"<td class=""cell-long-text"">Double power if stats were lowered during the turn.</td>",-
Last Resort,Normal,physical,140,100,—,"<td class=""cell-long-text"">Can only be used after all other moves are used.</td>",-
Last Respects,Ghost,physical,50,100,—,"<td class=""cell-long-text"">Damages increases the more party Pokémon have been defeated.</td>",-
Lava Plume,Fire,special,80,100,30,"<td class=""cell-long-text"">May burn opponent.</td>",30
Leaf Blade,Grass,physical,90,100,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Leaf Storm,Grass,special,130,90,100,"<td class=""cell-long-text"">Sharply lowers user's Special Attack.</td>",100
Leaf Tornado,Grass,special,65,90,50,"<td class=""cell-long-text"">May lower opponent's Accuracy.</td>",50
Leafage,Grass,physical,40,100,—,"<td class=""cell-long-text"">Strikes opponent with leaves.</td>",-
Leech Life,Bug,physical,80,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Leech Seed,Grass,status,-,90,—,"<td class=""cell-long-text"">Drains HP from opponent each turn.</td>",-
Leer,Normal,status,-,100,100,"<td class=""cell-long-text"">Lowers opponent's Defense.</td>",100
Let's Snuggle Forever,Fairy,physical,190,-,—,"<td class=""cell-long-text"">Mimikyu-exclusive Z-Move.</td>",-
Lick,Ghost,physical,30,100,30,"<td class=""cell-long-text"">May paralyze opponent.</td>",30
Life Dew,Water,status,-,-,—,"<td class=""cell-long-text"">User and teammates recover HP.</td>",-
Light of Ruin,Fairy,special,140,90,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Light Screen,Psychic,status,-,-,—,"<td class=""cell-long-text"">Halves damage from Special attacks for 5 turns.</td>",-
Light That Burns the Sky,Psychic,special,200,-,—,"<td class=""cell-long-text"">Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.</td>",-
Liquidation,Water,physical,85,100,20,"<td class=""cell-long-text"">May lower opponent's Defense.</td>",20
Lock-On,Normal,status,-,-,—,"<td class=""cell-long-text"">User's next attack is guaranteed to hit.</td>",-
Lovely Kiss,Normal,status,-,75,—,"<td class=""cell-long-text"">Puts opponent to sleep.</td>",-
Low Kick,Fighting,physical,-,100,—,"<td class=""cell-long-text"">The heavier the opponent, the stronger the attack.</td>",-
Low Sweep,Fighting,physical,65,100,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Lucky Chant,Normal,status,-,-,—,"<td class=""cell-long-text"">Opponent cannot land critical hits for 5 turns.</td>",-
Lumina Crash,Psychic,special,80,100,—,"<td class=""cell-long-text"">Harshly lowers target’s Special Defense.</td>",-
Lunar Blessing,Psychic,status,-,-,—,"<td class=""cell-long-text"">Heals user's status conditions and recovers HP.</td>",-
Lunar Dance,Psychic,status,-,-,—,"<td class=""cell-long-text"">The user faints but the next Pokémon released is fully healed.</td>",-
Lunge,Bug,physical,80,100,100,"<td class=""cell-long-text"">The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.</td>",100
Luster Purge,Psychic,special,95,100,50,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",50
Mach Punch,Fighting,physical,40,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Magic Coat,Psychic,status,-,-,—,"<td class=""cell-long-text"">Reflects moves that cause status conditions back to the attacker.</td>",-
Magic Powder,Psychic,status,-,100,—,"<td class=""cell-long-text"">Changes target's type to Psychic.</td>",-
Magic Room,Psychic,status,-,-,—,"<td class=""cell-long-text"">Suppresses the effects of held items for five turns.</td>",-
Magical Leaf,Grass,special,60,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Magical Torque,Fairy,physical,100,100,—,"<td class=""cell-long-text"">May confuse the opponent.</td>",-
Magma Storm,Fire,special,100,75,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
Magnet Bomb,Steel,physical,60,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Magnet Rise,Electric,status,-,-,—,"<td class=""cell-long-text"">User becomes immune to Ground-type moves for 5 turns.</td>",-
Magnetic Flux,Electric,status,-,-,—,"<td class=""cell-long-text"">Raises Defense and Sp. Defense of Plus/Minus Pokémon.</td>",-
Magnitude,Ground,physical,-,100,—,"<td class=""cell-long-text"">Hits with random power.</td>",-
Make It Rain,Steel,special,120,100,—,"<td class=""cell-long-text"">Lowers user's Special Attack. Money is earned after the battle.</td>",-
Malicious Moonsault,Dark,physical,180,-,—,"<td class=""cell-long-text"">Incineroar-exclusive Z-Move.</td>",-
Malignant Chain,Poison,special,100,100,—,"<td class=""cell-long-text"">May poison the opponent.</td>",-
Mat Block,Fighting,status,-,-,—,"<td class=""cell-long-text"">Protects teammates from damaging moves.</td>",-
Matcha Gotcha,Grass,special,80,90,20,"<td class=""cell-long-text"">Deals damage, restores HP, may burn opponent.</td>",20
Max Airstream,Flying,,-,-,-,"<td class=""cell-long-text"">Flying type Dynamax move. Raises the team's Speed.</td>",100
Max Darkness,Dark,,-,-,-,"<td class=""cell-long-text"">Dark type Dynamax move. Lowers the target's Special Defense.</td>",100
Max Flare,Fire,,-,-,-,"<td class=""cell-long-text"">Fire type Dynamax move. Summons harsh sunlight.</td>",-
Max Flutterby,Bug,,-,-,-,"<td class=""cell-long-text"">Bug type Dynamax move. Lowers the target's Special Attack.</td>",100
Max Geyser,Water,,-,-,-,"<td class=""cell-long-text"">Water type Dynamax move. Summons heavy rain.</td>",-
Max Guard,Normal,,-,-,-,"<td class=""cell-long-text"">Status category Dynamax move. Protects the user.</td>",-
Max Hailstorm,Ice,,-,-,-,"<td class=""cell-long-text"">Ice type Dynamax move. Summons hail.</td>",-
Max Knuckle,Fighting,,-,-,-,"<td class=""cell-long-text"">Fighting type Dynamax move. Increases the team's Attack.</td>",100
Max Lightning,Electric,,-,-,-,"<td class=""cell-long-text"">Electric type Dynamax move. Summons Electric Terrain.</td>",-
Max Mindstorm,Psychic,,-,-,-,"<td class=""cell-long-text"">Psychic type Dynamax move. Summons Psychic Terrain.</td>",-
Max Ooze,Poison,,-,-,-,"<td class=""cell-long-text"">Poison type Dynamax move. Increases the team's Special Attack.</td>",100
Max Overgrowth,Grass,,-,-,-,"<td class=""cell-long-text"">Grass type Dynamax move. Summons Grassy Terrain.</td>",-
Max Phantasm,Ghost,,-,-,-,"<td class=""cell-long-text"">Ghost type Dynamax move. Lowers the target's Defense.</td>",100
Max Quake,Ground,,-,-,-,"<td class=""cell-long-text"">Ground type Dynamax move. Increases the team's Special Defense.</td>",100
Max Rockfall,Rock,,-,-,-,"<td class=""cell-long-text"">Rock type Dynamax move. Summons a sandstorm.</td>",-
Max Starfall,Fairy,,-,-,-,"<td class=""cell-long-text"">Fairy type Dynamax move. Summons Misty Terrain.</td>",-
Max Steelspike,Steel,,-,-,-,"<td class=""cell-long-text"">Steel type Dynamax move. Raises the team's Defense.</td>",100
Max Strike,Normal,,-,-,-,"<td class=""cell-long-text"">Normal type Dynamax move. Lowers the target's Speed.</td>",100
